0	702	16	48	32	32
1	702	48	48	32	32
2	702	80	48	32	32
3	702	112	48	32	32
4	702	144	48	32	32
5	702	176	48	32	32
6	702	208	48	32	32
7	702	240	48	32	32
8	702	272	48	32	32
9	702	304	48	32	32
10	702	336	48	32	32
11	702	368	48	32	32
12	702	400	48	32	32
13	702	432	48	32	32
14	702	464	48	32	32
15	702	496	48	32	32
16	702	560	48	32	32
17	702	528	48	32	32
18	702	592	48	32	32
19	702	624	48	32	32
20	702	656	48	32	32
21	702	688	48	32	32
22	702	752	48	32	32
23	702	720	48	32	32
24	702	784	48	32	32
25	702	816	48	32	32
26	702	848	48	32	32
27	702	880	48	32	32
28	702	912	48	32	32
29	702	944	48	32	32
30	702	976	48	32	32
31	702	1040	48	32	32
32	702	1008	48	32	32
33	702	1072	48	32	32
34	702	1136	48	32	32
35	702	1104	48	32	32
36	702	1168	48	32	32
37	702	1200	48	32	32
38	702	1232	48	32	32
39	702	1264	48	32	32
40	702	1264	80	32	32
41	702	1296	112	32	32
42	702	1328	144	32	32
43	702	1360	176	32	32
44	702	1392	176	32	32
45	702	1424	176	32	32
46	702	1456	176	32	32
47	702	1456	208	32	32
48	702	1488	240	32	32
49	702	1520	240	32	32
50	702	1552	240	32	32
51	702	1584	240	32	32
52	702	1616	240	32	32
53	702	1648	240	32	32
54	702	1744	240	160	32
55	702	1328	48	32	32
56	702	1296	48	32	32
57	702	1360	48	32	32
58	702	1392	48	32	32
59	702	1424	48	32	32
60	702	1456	48	32	32
61	702	1488	48	32	32
62	702	1520	48	32	32
63	702	1584	48	32	32
64	702	1552	48	32	32
65	702	1616	48	32	32
66	702	1680	48	32	32
67	702	1648	48	32	32
68	702	1712	48	32	32
69	702	1744	48	32	32
70	702	1776	48	32	32
71	702	1808	48	32	32
72	702	1872	48	32	32
73	702	1840	48	32	32
74	702	1840	240	32	32
75	702	1840	208	32	32
76	702	1872	208	32	32
77	702	1872	176	32	32
78	702	1904	176	32	32
79	702	1936	176	32	32
80	702	1968	176	32	32
81	702	2016	176	64	32
82	702	1904	48	32	32
83	702	1936	48	32	32
84	702	1968	48	32	32
85	702	2000	48	32	32
86	702	2032	48	32	32
87	702	2064	48	32	32
88	702	2096	48	32	32
89	702	2128	48	32	32
90	702	2160	48	32	32
91	702	2192	48	32	32
92	702	2256	48	32	32
93	702	2224	48	32	32
94	702	2288	48	32	32
95	702	2320	48	32	32
96	702	2352	48	32	32
97	702	2384	48	32	32
98	702	2416	48	32	32
99	702	2448	48	32	32
100	702	2480	48	32	32
101	702	2512	48	32	32
102	702	2544	48	32	32
103	702	2576	48	32	32
104	611	58	105	15	31
105	616	185	171	15	31
106	615	314	108	15	31
107	614	440	169	15	31
108	614	569	108	15	31
109	614	697	172	15	31
110	615	827	109	15	31
111	601	185	100	31	63
112	602	455	100	31	63
113	602	698	100	31	63
114	603	965	100	31	63
