0	714	2335	47	32	32
1	703	2468	173	32	32
2	702	2512	144	96	32
3	702	2448	144	32	32
4	702	2352	208	160	32
5	702	2256	208	32	32
6	712	2160	64	32	128
7	712	2160	176	32	32
8	712	2256	128	32	128
9	702	2240	80	128	32
10	702	2144	144	64	32
11	208	2215	128	31	63
12	702	2016	208	192	32
13	702	1792	208	128	32
14	702	1120	208	960	32
15	702	608	272	64	32
16	702	288	208	576	32
17	702	64	272	128	32
18	705	173	399	32	96
19	712	144	240	32	32
20	712	560	240	32	32
21	208	474	260	31	63
22	653	1632	209	64	16
23	714	97	304	32	32
24	204	808	123	31	31
25	204	1081	132	31	31
26	616	2384	273	15	31
27	615	2264	337	15	31
28	612	1309	336	15	31
29	613	348	337	15	31
30	616	2073	336	15	31
31	616	1953	338	15	31
32	616	1437	337	15	31
33	616	1184	338	15	31
34	616	1057	336	15	31
35	616	927	338	15	31
36	616	724	325	15	31
37	616	474	337	15	31
38	616	216	337	15	31
39	706	144	258	32	128
40	715	488	19	32	32
41	715	530	17	32	32
42	715	566	17	32	32
43	715	615	17	32	32
44	715	653	18	32	32
45	715	694	18	32	32
46	715	727	17	32	32
47	715	1536	20	32	32
48	715	1575	20	32	32
49	715	1612	19	32	32
50	715	1647	19	32	32
51	715	1680	19	32	32
52	715	1717	20	32	32
53	715	1760	18	32	32
54	715	1841	14	32	32
55	715	1877	16	32	32
56	715	1919	17	32	32
57	715	1963	19	32	32
58	715	2003	18	32	32
59	715	2086	21	32	32
60	715	2125	21	32	32
61	715	2204	24	32	32
