0	0	16	368	0	0	32	32
1	1	48	368	32	0	32	32
2	2	80	368	64	0	32	32
3	3	112	368	96	0	32	32
4	4	144	368	128	0	32	32
5	5	176	368	160	0	32	32
6	0	208	368	0	0	32	32
7	1	240	368	32	0	32	32
8	0	272	368	0	0	32	32
9	1	304	368	32	0	32	32
10	2	336	368	64	0	32	32
11	3	368	368	96	0	32	32
12	4	400	368	128	0	32	32
13	5	432	368	160	0	32	32
14	0	464	368	0	0	32	32
15	1	496	368	32	0	32	32
16	0	528	368	0	0	32	32
17	1	560	368	32	0	32	32
18	2	592	368	64	0	32	32
19	3	624	368	96	0	32	32
20	6	656	368	192	0	32	32
21	7	688	368	224	0	32	32
22	0	720	368	0	0	32	32
23	1	752	368	32	0	32	32
24	0	784	368	0	0	32	32
25	1	816	368	32	0	32	32
26	2	848	368	64	0	32	32
27	3	880	368	96	0	32	32
28	4	912	368	128	0	32	32
29	5	944	368	160	0	32	32
30	0	976	368	0	0	32	32
31	1	1008	368	32	0	32	32
32	8	1040	368	256	0	32	32
33	9	1072	368	288	0	32	32
34	2	1104	368	64	0	32	32
35	3	1136	368	96	0	32	32
36	4	1168	368	128	0	32	32
37	5	1200	368	160	0	32	32
38	8	1232	368	256	0	32	32
39	9	1264	368	288	0	32	32
40	0	1296	368	0	0	32	32
41	1	1328	368	32	0	32	32
42	0	1360	368	0	0	32	32
43	1	1392	368	32	0	32	32
44	0	1424	368	0	0	32	32
45	1	1456	368	32	0	32	32
46	0	1488	368	0	0	32	32
47	1	1520	368	32	0	32	32
48	2	1552	368	64	0	32	32
49	3	1584	368	96	0	32	32
50	4	1616	368	128	0	32	32
51	5	1648	368	160	0	32	32
52	10	1680	368	320	0	32	32
53	10	1712	368	320	0	32	32
54	2	1744	368	64	0	32	32
55	3	1776	368	96	0	32	32
56	11	1808	368	352	0	32	32
57	12	1840	368	384	0	32	32
58	0	1872	368	0	0	32	32
59	1	1904	368	32	0	32	32
60	0	1936	368	0	0	32	32
61	1	1968	368	32	0	32	32
62	8	2000	368	256	0	32	32
63	9	2032	368	288	0	32	32
64	2	2064	368	64	0	32	32
65	3	2096	368	96	0	32	32
66	8	2128	368	256	0	32	32
67	9	2160	368	288	0	32	32
68	2	2192	368	64	0	32	32
69	3	2224	368	96	0	32	32
70	8	2256	368	256	0	32	32
71	9	2288	368	288	0	32	32
72	2	2320	368	64	0	32	32
73	3	2352	368	96	0	32	32
74	8	2384	368	256	0	32	32
75	9	2416	368	288	0	32	32
76	2	2448	368	64	0	32	32
77	3	2480	368	96	0	32	32
78	0	2512	368	0	0	32	32
79	1	2544	368	32	0	32	32
80	8	2576	368	256	0	32	32
81	9	2608	368	288	0	32	32
82	0	2640	368	0	0	32	32
83	1	2672	368	32	0	32	32
84	11	2704	368	352	0	32	32
85	12	2736	368	384	0	32	32
86	11	2768	368	352	0	32	32
